id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure
41332,298.6,309.8,1637,36.2,218,1
41362,298.8,310.1,1429,74.5,179,1
41402,302.3,310.7,1362,54.8,213,1
41415,298,308.6,1629,28.9,20,1
41486,301.6,310.2,1341,51.2,64,1
41636,302.3,311.8,1348,58.5,212,1
41701,296.4,307.2,1419,62.3,183,1
41717,301.4,310.6,1378,46.5,101,1
41789,299.3,309.1,1356,56.7,189,1
41812,302.2,310.1,1373,46.6,25,1
41852,298.5,308.2,1351,66.3,42,1
41886,302.5,310.5,1361,49.6,0,1
41946,301.9,310,1336,61.8,201,1
41995,298.5,308.2,1301,46.2,42,1
42134,298.8,309.8,1437,61.9,144,1
42158,303.4,311.8,1922,23.9,207,1
42224,300.6,310,1326,59.4,207,1
42245,301.7,309.8,1349,49.1,94,1
42423,297,307.8,1285,70.5,74,1
42583,300.8,310.8,1339,59.1,203,1
42605,302.3,310.9,1351,48.9,148,1
42617,303.1,311.2,1364,44.6,173,1
42835,298.8,308.9,1391,58.9,208,1
42916,297,311.4,1359,50.2,153,1
42975,302.6,310.4,1354,54.1,202,1
43202,300.7,310.4,1416,46.6,146,1
43260,301.7,311.2,1822,54.7,204,1
43283,297.6,308.4,1369,53.6,93,1
43493,299.8,311.1,1422,47.3,170,1
43504,302.6,311.6,1227,68.2,57,1
43514,298.6,309.8,2271,16.2,218,1
43637,301.7,310.2,1426,61.4,8,1
43716,300.6,312,1366,67.9,3,1
43718,298.8,308.9,1372,56.4,228,1
43758,303.6,311.8,1685,44.8,101,1
43762,297.3,308.4,1365,63.9,69,1
43869,300.5,311.6,1334,53,85,1
44059,303.4,311.9,1422,47.6,39,1
44082,302.5,310.2,1378,51.9,119,1
44161,302.7,310.5,1350,54.3,10,1
44267,302.7,310.5,1359,46.7,166,1
44344,300.5,311.2,1270,45.1,208,1
44438,302.7,310.5,1351,41.8,76,1
44507,299,310.2,1377,62.5,20,1
44591,302.5,310.8,1356,55.5,101,1
44695,298.5,308.6,1344,53,114,1
44698,299,310.3,1321,45.8,180,1
44762,302.6,310.5,1340,61.4,56,1
44987,302.7,310.6,1312,51.6,18,1
45041,303.7,313,1314,46.9,209,1
45044,299.9,309.3,1284,68.2,204,1
45091,298,308,1416,38.2,198,1
45223,296.7,307.9,1379,35.6,206,1
45382,302.6,310.3,1375,48.8,105,1
45417,301,310.9,1282,27.3,10,1
45528,302.6,310.4,1379,47.2,0,1
45662,303.6,311.8,1271,68.6,14,1
45741,299,309.9,1373,55.7,85,1
45861,298.4,309,1376,54.6,153,1
45933,301.9,310.9,1567,39,214,1
46012,298.2,308.3,1366,68.2,189,1
46024,303.3,311.4,2639,12.5,2,1
46058,298.9,309.8,1270,63.1,216,1
46094,301.4,311,1298,51.3,208,1
46158,302.6,310.6,1359,45.5,86,1
46196,300.9,309.4,1342,62.4,113,1
46387,302.9,310.8,1295,51.7,7,1
46388,300.5,311.7,1368,57.9,191,1
46404,302.2,310.6,1348,48.4,26,1
46430,297.4,308.9,1425,58.2,5,1
46485,302.4,311,1439,44.5,204,1
46547,298.4,307.4,1379,51.6,193,1
46567,302.1,310.7,1609,35.2,174,1
46580,300.8,310.7,1434,59.1,26,1
46739,300.3,310.3,1362,40.2,206,1
46766,301.1,310.5,1281,57.2,207,1
46929,297.1,308.5,1523,35.5,207,1
46962,301.8,309.7,1379,49.3,229,1
46981,300.2,311.6,1254,71.6,65,1
47054,301.9,310.4,1265,71.7,57,1
47107,302.6,310.5,1341,51,181,1
47123,295.6,306.1,1438,55.6,215,1
47331,302.2,311.2,1376,49.8,99,1
47341,300.6,309.6,1290,57.4,119,1
47348,303.4,311.7,1366,50.9,200,1
47660,300.1,311.2,1379,55.2,206,1
47707,302,310.7,1382,52.5,101,1
47747,300.5,310.5,1841,24.2,17,1
47841,301.2,311.1,1317,61.4,212,1
47958,302.2,310.6,1340,47,112,1
48005,300.4,311.8,1352,55.9,168,1
48049,302,310.6,1325,62,192,1
48367,303.4,311.8,1479,53,74,1
48386,304.4,313.6,1509,35,127,1
48523,299.4,310.9,1399,53.8,10,1
48603,300.9,312.1,1347,41.4,193,1
48632,298.1,308,1326,48.1,92,1
48669,297.3,308.2,1427,49.2,212,1
48732,299.1,308.8,1433,53.6,207,1
48793,303.4,311.8,1369,56.4,173,1
48817,299.8,309.5,1374,52.1,0,1
48821,297.5,308,1663,31.6,195,1
48938,301.9,309.6,1446,48.8,225,1
48940,302.3,310.1,1353,55.8,20,1
48962,302.8,312.2,1450,52.1,213,1
48988,297.6,308.3,1331,61.7,115,1
49197,299.1,310.3,1713,25.7,114,1
49206,297.5,308.9,1336,55.7,119,1
49422,302.5,310.3,1368,51.9,134,1
49448,299,310.2,1524,38.6,246,1
49481,300.4,311.8,1320,67.5,0,1
49578,303.8,313,1365,59.9,205,1
49580,298,307.6,1268,62.5,203,1
49599,300.1,309.6,1340,58.5,100,1
49802,302.1,310.6,1438,44.1,208,1
49882,302.5,310.4,1341,52.9,181,1
49930,302.1,310.1,1348,59.4,176,1
49986,302.7,310.4,1351,41.8,10,1
50016,296.6,307.9,1386,48.4,100,1
50079,303.5,312,1365,44.8,208,1
50291,302.7,310.5,1379,41,209,1
50345,302.2,310,1293,58.5,17,1
50387,303.4,311.4,1374,47.2,232,1
50589,298.4,308,1414,51.9,41,1
50622,303.4,312,1521,35.9,215,1
50699,301,310.8,1296,65.8,20,1
50739,299.2,310.7,1425,49.8,225,1
50784,301.7,310.9,1378,53.7,110,1
50789,298.6,309,1372,53.5,2,1
50816,300.3,311.5,2639,11.4,151,1
50858,298.6,309.5,1354,47.1,96,1
50951,303.5,312.1,1349,50.6,114,1
50976,302.2,310.4,1346,52.8,105,1
51019,302.8,310.6,1402,66.8,201,1
51068,297,308.1,1568,52.5,94,1
51082,300.1,311.3,1609,12.5,64,1
51117,300.5,310.5,1558,12.2,17,1
51142,303.8,312.9,1368,55.2,215,1
51165,302.4,310.4,1272,54.6,68,1
51198,301.9,310.4,1258,60.7,30,1
51227,302.5,310.4,1323,55.1,176,1
51300,299.3,308.9,1258,69.4,119,1
51347,301.7,310.1,1353,50.8,67,1
51388,301.9,309.7,1436,44.8,204,1
51402,301.8,311.3,1369,56.9,61,1
51462,303.4,311.9,1372,47.9,40,1
51487,301.8,309.9,1363,67.9,182,1
51662,301.1,310.5,1376,55.8,91,1
51680,299.2,309,1467,48.8,228,1
51704,302.5,311,1348,44.3,188,1
51730,302,310.5,1402,45.8,231,1
51736,298.6,309.8,1505,45.7,144,1
51759,299.4,309,1281,60,213,1
51821,302.3,311.2,2737,8.2,81,1
51852,303.4,311.8,1365,63.5,61,1
51902,300.2,311.5,1323,61.4,207,1
51943,300.3,311.2,1269,65.2,136,1
51980,301.9,311,1412,44,208,1
52067,297.7,308.9,1359,51.2,158,1
52136,300,309.5,1399,39.8,9,1
52144,303.7,312.7,1359,56.8,42,1
52182,302.6,312.1,1544,35.9,215,1
52197,300.7,311.9,1378,48.3,222,1
52214,302.6,312.9,1399,53.4,228,1
52249,302.2,310.7,1364,47.8,213,1
52392,297.8,307.4,1604,36.1,225,1
52396,303,311.1,1364,47.6,106,1
52606,303.2,311.4,1351,53.8,8,1
52691,302.3,310.1,1373,55.4,100,1
52703,298.4,309.9,1372,66.7,203,1
52765,302,309.9,1386,50,2,1
53039,297.2,308.5,1374,48.5,203,1
53051,299.8,309.3,1441,35.1,208,1
53055,303.4,311.2,1238,59,207,1
53058,302.8,312.3,1336,63.5,218,1
53119,302.6,312.3,1361,54.8,20,1
53273,297.3,308.3,1396,52.7,212,1
53333,302,310.4,1373,56.2,108,1
53336,297.6,309.6,1284,62.8,196,1
53428,302.5,311.9,1295,62,134,1
53463,302.5,310.9,1349,34.4,146,1
53475,297.2,308.1,1336,58.2,162,1
53538,297,307.8,1315,61.2,200,1
53564,300.3,311.7,1346,60.5,170,1
53655,297.5,308.5,1335,57.3,4,1
53674,297.6,309.7,2440,13.4,2,1
53680,300.5,311.3,1295,67.5,213,1
53697,297,308.2,1365,55.7,124,1
53822,297.3,308.4,1605,29.5,20,1
53905,295.6,306.2,1278,65.3,91,1
53926,303.7,313,1314,62.4,209,1
54222,302.3,311.8,1555,36.2,168,1
54282,303.5,311.7,1349,52,141,1
54295,301.1,310.6,1379,60.7,202,1
54339,302.2,310.6,1372,55.6,161,1
54372,302.2,310.7,1349,48.9,40,1
54433,302.6,311.5,1442,59.8,169,1
54443,298,308.7,1377,58.5,179,1
54525,298.9,310.6,1363,51,190,1
54598,302,310.4,1357,58,108,1
54602,302.5,310.4,1452,45,113,1
54697,302.4,310.2,1350,55.1,66,1
54707,298.9,310.1,1287,61.9,216,1
54778,301,310.8,1375,57.2,20,1
54788,302.4,310.1,1351,41.8,10,1
54973,302,310.4,1326,62.3,67,1
54985,301.6,310.1,1454,52.7,70,1
55090,302,310.4,1358,58,156,1
55105,300.9,310.8,1479,49.2,201,1
55190,303,311.3,1399,47.6,210,1
55307,297.3,308.3,1421,48.8,229,1
55321,298,308.7,1377,55.1,191,1
55335,301.7,309.9,1317,49.1,2,1
55385,300.7,310,1433,62.7,19,1
55410,303.7,312.6,1310,46.5,147,1
55432,302,310.3,1370,51.8,220,1
55610,302.4,310.4,1379,49.5,136,1
55728,300.4,309.9,1397,45.9,210,1
55745,299.3,308.8,1419,45.4,208,1
55790,302.1,310.5,1340,55.7,204,1
55856,302.7,310.5,1372,46.3,126,1
55917,298.3,307.7,1310,58.1,119,1
55938,302.7,310.5,1351,48.7,0,1
56027,300.9,312,1335,57.2,168,1
56029,303.4,311.8,1375,56.9,59,1
56098,299.1,309.9,1336,56.3,242,1
56148,299.1,308.9,1567,47.2,218,1
56222,297,307.8,1303,62.3,200,1
56342,300.8,310.2,1385,46.3,189,1
56346,300.7,309.5,1492,40.2,228,1
56457,303.6,312.8,2659,37.4,26,1
56472,302.2,310.1,1449,48.5,15,1
56515,301.4,310.3,1274,67.6,222,1
56523,301.9,310.4,1331,54.5,117,1
56579,302,310.5,1370,65.3,112,1
56591,303.5,311.6,1336,50.7,80,1
56717,300.5,311.2,1397,51.2,2,1
56778,299.3,309.1,1379,40.3,217,1
56924,297.2,308.1,1373,61.3,212,1
56952,302.1,310.5,1355,51.5,126,1
56960,301.4,310.8,2579,12.8,149,1
57033,300.5,309.8,1432,29.1,145,1
57193,302.7,309.6,1346,48.7,9,1
57290,298.3,308.7,1378,54.8,194,1
57327,302.4,310.1,1379,56.8,0,1
57453,297.5,308.4,1475,40.5,222,1
57461,300.9,310.7,1336,58.7,201,1
57462,297.3,308.2,1396,50.3,212,1
57500,298.9,310.6,2638,12.1,187,1
57647,302.6,310.4,1369,47.7,189,1
57654,301.2,310.9,1316,52.3,59,1
57681,300.6,309.4,1380,47.6,13,1
57830,302.5,311.9,1339,49,138,1
57924,302.4,311.9,1290,59,139,1
57933,298.4,308.9,1402,44.8,201,1
57938,303.8,313.1,2497,53.4,5,1
57969,302.5,310.4,1967,20.3,50,1
58010,302.4,310.1,1357,49.9,119,1
58060,302.8,312.3,1416,46.8,234,1
58095,297.9,309.8,1450,47.9,31,1
58111,297.5,308.3,1475,40.5,137,1
58195,297.4,308.3,1472,37.4,2,1
58255,300.7,310.3,1391,52.6,205,1
58278,298.1,308.2,1284,70.6,192,1
58294,300.4,309.5,1352,57.5,195,1
58370,302,310.5,1376,54.4,171,1
58414,303.4,312.6,1482,44.4,73,1
58435,304,311.9,1363,54.4,71,1
58475,302.2,311.7,1279,68.2,31,1
58541,301.9,310.6,1419,47.3,20,1
58573,302,310.4,1336,58.2,23,1
58677,298.2,308.1,1379,62.3,149,1
58816,302.4,310.2,1354,51.6,12,1
58821,301.1,310.9,1453,67.9,10,1
58836,302.4,311.6,1313,55.8,156,1
58860,297.8,308.5,1278,57.4,197,1
58896,298.9,309,1273,66.9,197,1
58964,299.9,309.1,1359,46.9,205,1
58978,297.6,308.6,1282,69.7,196,1
59070,298.4,308.3,1471,61,214,1
59071,302.5,310.3,1278,55.6,9,1
59158,298.8,308.5,1369,49.4,137,1
59220,300.8,310.6,1341,44.3,162,1
59225,301.9,310.8,1363,46.6,42,1
59270,298.7,309.9,1477,65.9,203,1
59388,300.9,310.7,1412,57.5,16,1
59409,302,310.8,1383,50.3,119,1
59410,300.9,311.9,1372,61,53,1
59448,298.4,308.2,1528,36.2,196,1
59502,302.4,310.1,1377,44.7,136,1
59515,302.6,311,1366,50.1,114,1
59561,302.9,310.6,1351,55.2,47,1
59610,302.2,310.5,1507,40.4,9,1
59893,301.9,310.4,1353,46.4,119,1
59925,301.4,310.4,1380,39.7,203,1
60041,297.4,308.9,1365,69.7,134,1
60109,297.7,309,2133,18.4,74,1
60143,297.8,308.9,1871,25.6,200,1
60186,298.9,310.3,1620,31.8,40,1
60238,298.3,309,1405,61,90,1
60248,302.7,310.5,1501,40.9,211,1
60279,298.2,307.7,1365,41.3,102,1
60290,301.9,310.9,1321,47.7,20,1
60349,302.6,311,1306,61,168,1
60438,300.2,310.3,1362,60.3,206,1
60478,301,311.2,1212,68.6,64,1
60538,298.4,309.5,2153,15.3,98,1
60583,299.3,309,1447,50.4,140,1
60613,300.7,311.1,2478,39.2,170,1
60626,301.7,309.9,1389,47.3,20,1
60663,300.8,309.4,1342,41.2,113,1
60752,299.1,310.1,1317,54.8,231,1
60878,301.8,309.8,1284,68.2,111,1
61006,300.7,310.4,1416,61.8,2,1
61077,300.8,310.8,1339,59.5,203,1
61079,301.7,311,1529,41.8,208,1
61110,300.3,311.9,1390,49,194,1
61116,302.6,311.6,1472,47.2,228,1
61181,296.7,307.8,1286,60.5,238,1
61243,302.2,310.1,1363,45.1,12,1
61344,300.6,310.3,1372,56,213,1
61356,300.3,311.7,1379,54.4,191,1
61452,302.3,311.1,1503,35.3,143,1
61534,297.9,309.8,1282,67.9,20,1
61542,302.1,310.6,1364,45.8,189,1
61558,300.8,309.4,1342,62.4,113,1
61573,303.7,312.6,1316,54.8,92,1
61587,300.5,311.6,1486,58.4,189,1
61592,301.7,311,1441,44.3,208,1
61665,302.7,310.6,1349,51.4,86,1
61811,299,310.1,1359,56.3,185,1
61838,302.1,310.6,1317,47.8,2,1
61940,300.8,309.7,1346,62.5,179,1
62026,300.8,310.7,1339,59.1,199,1
62059,302.6,310.4,1351,53,52,1
62189,297.7,309.1,1368,56.2,212,1
62198,300.3,310.3,1362,53.3,206,1
62342,302.7,312.2,1450,52.1,213,1
62507,302,310.8,1374,48.1,229,1
62735,299.7,309.1,1483,41.1,208,1
62773,302,310.9,1336,52.7,59,1
62798,300.6,309.4,1258,70.5,124,1
62813,301.9,309.7,1362,65.3,204,1
62896,302.6,310.1,1212,67.5,216,1
63074,302.4,310.7,1362,54.8,218,1
63080,298.8,310.2,2567,12,192,1
63153,301.9,310.9,1419,47.7,20,1
63155,298,308.7,1629,35,189,1
63252,300.6,311.9,1601,35.9,212,1
63268,297.6,308.7,1376,59.9,74,1
63304,299.4,308.6,2691,12.1,90,1
63338,298.8,308.7,1268,69,70,1
63350,302.6,310.2,1369,44.9,160,1
63381,298.1,308.7,1371,59.8,197,1
63513,300.2,310.2,1378,60.3,200,1
63551,302.6,310.4,1258,65.3,79,1
63746,302.4,310.6,1340,57.1,156,1
63761,300.3,310.3,1362,60.3,206,1
63851,297.2,308.4,1431,49.7,210,1
63852,302.4,311,1360,45.1,161,1
63862,301.4,310.6,2084,18.8,159,1
63961,301,309.4,1399,48,143,1
63986,298.3,308,1366,73.6,101,1
63996,302.4,311,1337,48.4,187,1
64150,302,310.8,1539,46.4,13,1
64214,302.3,310.7,1314,52.8,8,1
64222,302.4,310.3,1348,49.4,161,1
64305,299.5,308.8,1373,55.7,164,1
64327,298.8,309.7,1382,68.8,62,1
64407,300.1,311.7,1294,55.3,206,1
64575,302.6,310.9,1330,62.9,97,1
64761,303.3,311.8,1373,47.7,59,1
64764,301.8,310.2,2825,5.8,215,1
64779,302.3,310.9,1366,48.4,130,1
64781,302.4,310.1,1349,48.8,189,1
64798,302.7,310.6,1467,56,201,1
64887,302.8,310.6,1359,54.5,207,1
64904,303.6,311.7,1346,54.4,64,1
64933,303.3,311.3,1378,54.4,50,1
64996,298,308.3,1373,62.4,63,1
65022,300.1,309.5,1464,45.9,30,1
65401,298.4,309.3,1337,56.1,206,1
65422,302.2,310.1,1473,48.1,22,1
65425,302.5,310.9,1694,33.2,101,1
65455,302.5,309.8,1385,45.7,6,1
65464,300.1,309.7,2685,12.7,125,1
65495,301.7,309.5,1298,65.5,229,1
65543,299.4,309.1,1314,57.3,215,1
65547,302.3,311.8,1438,36.3,207,1
65618,302.6,311.6,1238,52.3,37,1
65691,300.5,311.7,1577,37.3,208,1
65822,298.4,308.3,1433,62.3,20,1
65847,298.9,309.6,1368,48.9,187,1
65884,298.3,308.1,1357,50.5,212,1
65917,298,308.5,1429,37.7,0,1
66199,302.4,311.1,1377,54.1,207,1
66203,301.4,310.6,1348,51.5,74,1
66204,302.3,310.9,1301,57.2,59,1
66218,298.2,307.6,1803,24.7,209,1
66229,299.2,309.9,1416,44.5,219,1
66242,297.4,308.8,1574,35.8,204,1
66350,302.4,311.7,1227,66.7,126,1
66426,300.7,310,2672,12.8,122,1
66520,295.6,306,1396,52.4,0,1
66539,296.4,307.4,1429,50,210,1
66576,303.7,312.4,1306,54,206,1
66638,302.1,310.9,1351,51.1,9,1
66792,301.5,310.7,1336,65.6,210,1
66873,302.6,310.9,1331,52,59,1
66961,297.3,308.1,1615,35.4,217,1
66978,297.2,308.1,1348,53.8,202,1
66996,303.1,311.2,1353,48.4,23,1
67010,303.8,313.2,1306,56.8,202,1
67134,303.4,311.6,2564,12.2,172,1
67164,302.4,310.3,1372,49.5,161,1
67193,300.3,310.3,1362,60.3,0,1
67445,302.3,310.9,1372,49.3,90,1
67516,302.5,310.4,1357,50.5,50,1
67521,302.6,310.8,1384,58.4,160,1
67545,301.1,310,1268,57.8,159,1
67702,300.2,311.4,1363,57.3,145,1
67816,296.3,307.1,1258,59,166,1
67868,300.5,311.7,1365,52.4,215,1
68047,300.3,311.8,1339,58.2,181,1
68089,297.6,308.7,1359,54.9,191,1
68133,301.7,309.9,1385,47,125,1
68148,301.2,310.7,1394,59.4,166,1
68211,303.8,312.8,1356,45.6,197,1
68222,299.3,310.7,1365,48.3,168,1
68287,299.5,309.3,1390,55.2,173,1
68487,303.1,311.2,1374,48.2,65,1
68522,302.4,311.8,1509,45.7,108,1
68541,304,313,1363,54.5,200,1
68557,302.6,310.5,1366,44.1,166,1
68586,298.6,308.2,1465,40.3,172,1
68614,303.3,311.5,1353,56,190,1
68793,300.5,309.3,1705,29.2,231,1
68861,302.1,310.7,1312,47.8,213,1
69019,302.5,311.8,1373,56,215,1
69030,297.4,308.7,2874,4.2,179,1
69032,301.9,309.7,1294,65.3,233,1
69073,302.8,312.2,1366,55.2,124,1
69076,300.7,310.4,1539,46.3,209,1
69189,301.9,310.7,1339,61.8,208,1
69193,303.3,311.6,1384,44.6,223,1
69203,300.8,310.6,1453,37.9,227,1
69215,302.1,310,1355,45.1,181,1
69420,303.4,311.9,1353,47.9,7,1
69445,302.4,310.2,1624,54,86,1
69465,298.6,310.2,1379,41.3,10,1
69615,297.4,308.3,1365,61.4,213,1
69653,299.2,308.6,1410,63.9,231,1
69761,302.4,311.8,1433,37.9,119,1
70067,298.3,308.1,2639,12.9,103,1
70176,302.5,310.4,1307,54.8,66,1
70202,301,310.5,1379,57.3,204,1
70314,300.3,311.7,1311,56.7,177,1
70334,301.6,310.8,1363,52.2,153,1
70393,304.1,313.4,1449,38.9,206,1
70397,300.7,310.5,1315,61.9,192,1
70425,301.9,310.3,1369,51.4,67,1
70516,298.3,308.3,1538,38.1,20,1
70559,300.4,311.2,1388,50.3,189,1
70568,297,308.1,1362,44.3,213,1
70689,298.5,309.6,1511,35.2,200,1
70781,302.4,310.3,1375,55.8,161,1
70827,296.3,307.2,1454,42.5,35,1
71010,297.7,307.1,1326,53,197,1
71065,300.5,311.1,1332,61.3,202,1
71181,300.8,310.6,2261,15.7,180,1
71182,302.5,310.2,1354,55,106,1
71225,303.4,312,1366,54.5,30,1
71374,303.7,312.8,1331,63.5,161,1
71391,302.4,310.1,1379,47.5,106,1
71485,303,311.2,1351,41.9,98,1
71674,300.3,311.7,1337,54.8,158,1
71766,296.9,307.8,1400,44.4,101,1
71918,301.8,309.8,1611,35,214,1
71938,302,310.9,1357,47.7,20,1
71958,299.1,308.8,1320,67.5,135,1
71999,298.6,309.5,1294,59.4,104,1
72233,302.1,310.7,1710,30.8,204,1
72287,300.7,310.6,1395,48.5,78,1
72359,303.7,312.9,1566,53.3,200,1
72378,298.5,309.7,1320,68.5,112,1
72399,302,310.9,1340,57.2,231,1
72418,302.5,311,1384,48.1,114,1
72459,300.7,311.1,1343,40.2,160,1
72465,296.9,307.9,1367,57.4,204,1
72493,298.5,309.6,1523,27.3,163,1
72535,299.2,308.4,1331,58.6,44,1
72539,298,308.7,1571,34.7,181,1
72599,303.4,311.8,1397,47.1,210,1
72618,303,311.2,1361,45.8,104,1
72682,297.1,308.7,1274,55.6,197,1
72810,303,311.2,1311,45.7,184,1
72925,295.8,306.3,1685,35.2,148,1
72930,300.5,309.7,1345,56,142,1
72959,302.2,310.9,1365,61,171,1
73071,300.5,309.3,1515,51.5,53,1
73078,298.9,310.6,1363,55.8,202,1
73140,304,312.9,1298,69.6,139,1
73144,301.7,310.7,1417,59.1,87,1
73195,301.2,311.6,1378,56.7,208,1
73207,302.7,311,1311,52.1,108,1
73237,300.6,310.1,1485,49.9,137,1
73371,297.2,308.5,1399,61.5,79,1
73704,299.2,309.1,1459,60.7,191,1
73745,296.9,307.9,1371,57.1,204,1
73767,302.2,310.8,1710,30.4,2,1
73768,302.4,310.3,1212,64.1,170,1
73811,300.8,311.4,1298,61.4,18,1
73867,302.5,311.9,1336,52.6,172,1
73986,298.6,310.1,2639,12,26,1
74150,303,311,2456,13.9,164,1
74375,302.4,311,1324,61,79,1
74415,303.4,312.5,2874,33.1,67,1
74429,300.2,311.6,1229,62.8,3,1
74519,303.8,312.9,1422,48,16,1
74524,300.8,311.4,1322,67.2,7,1
74549,302.6,310.9,1331,52.8,202,1
74553,298.6,308.4,1444,46.4,34,1
74619,300.3,310,1331,62.2,203,1
74749,300.5,311.1,1524,38.9,214,1
74840,302.7,310.5,1329,67.8,211,1
74844,300.9,310,1456,42.7,62,1
74960,303.1,311.2,1329,55.6,167,1
75008,302.8,312.3,1261,57.5,229,1
75038,300.7,310.7,1436,45.3,8,1
75055,303.7,312.3,1356,54.8,182,1
75098,302,310,1274,63.9,178,1
75252,298.3,309.4,1350,57,134,1
75266,302.1,310.4,1279,62.5,210,1
75311,301.8,310,1293,63.7,182,1
75333,302.1,310.1,2564,12.8,231,1
75353,302.1,310.6,1314,48.8,77,1
75387,302.6,311.5,1442,59.8,169,1
75409,304.2,313.2,1383,53.6,192,1
75507,298.4,309.4,1339,56.8,190,1
75535,301.4,310.7,2760,8.7,54,1
75545,299,309.9,1362,48.1,215,1
75573,300.7,310.5,1372,48,64,1
75659,301.7,309.5,1398,46.1,229,1
75681,302,310.4,1336,58.2,110,1
75815,302.1,310.8,1383,50.3,233,1
75852,300.9,310.7,1485,41,119,1
75948,302.4,310.1,1359,42.9,94,1
76059,302.1,310.1,1351,48.2,145,1
76066,297,307.7,1731,28.5,186,1
76174,303.6,312.4,1363,49.1,9,1
76204,302.6,310.9,1378,51.3,154,1
76208,303.6,311.8,1294,66.2,197,1
76233,303,311,1311,66.8,113,1
76236,299.1,308.8,1432,53.6,207,1
76280,299.2,310.7,1427,47,225,1
76396,298,308.7,1479,58.5,176,1
76702,303.4,311.8,1341,45.4,210,1
76877,303.3,311.4,1238,51.2,2,1
76952,300.5,311.6,1369,51.1,199,1
76978,300.7,311.9,1335,57.1,19,1
77025,302.6,310.6,1255,68.2,213,1
77116,297.1,308.6,1636,31.3,192,1
77145,302,310.8,1354,51,5,1
77205,303.3,312.6,1256,66.6,64,1
77209,298,308.1,1370,56.8,200,1
77330,302,310.8,1365,47,112,1
77371,301.7,310.4,1469,48.8,109,1
77450,300.4,309.5,1421,54.8,70,1
77540,299.4,308.7,1373,45.8,126,1
77669,300.1,311.6,1353,65.7,201,1
77708,302.2,310.1,1368,59,12,1
77797,299.6,309.2,1867,47.7,225,1
77824,299.2,308.2,1284,69.6,61,1
77982,297.8,308.9,1871,25.6,200,1
77983,302.6,311,1369,60,0,1
78026,300.8,310.9,1339,59.1,203,1
78031,298.5,309.9,1260,65.9,192,1
78123,299.1,308.9,1337,53.6,189,1
78238,299.2,308.7,1331,58.5,143,1
78253,298.4,309.6,1710,27.3,155,1
78262,303.3,311.6,1312,50.5,219,1
78386,302.3,311,1384,55.8,72,1
78393,303.2,311.4,1365,53.8,226,1
78488,298.4,309.4,1429,41.8,24,1
78494,301.9,310.7,1365,52.8,78,1
78541,298.3,308.6,1375,44.6,105,1
78582,302.3,309.9,1398,48.6,228,1
78586,303,311.1,1372,53.2,150,1
78747,298.2,308.9,1270,74.5,2,1
78804,300.7,311.1,2478,13.4,170,1
78905,302,309.9,1308,65.3,194,1
78938,301.5,310.5,1380,61.5,15,1
79005,301.1,310.9,1431,67.9,10,1
79045,302.3,311.6,1441,53.9,74,1
79215,302.6,310.1,1381,55.1,100,1
79238,302.4,310.7,1337,52.9,7,1
79304,299.5,309.3,1355,58.8,222,1
79325,302.2,310.1,1372,55.3,9,1
79370,302,310.8,2874,4.2,161,1
79443,299.1,308.2,1329,46.5,196,1
79457,301.2,310.4,1243,68.5,174,1
79470,298.9,308.7,1337,61.7,86,1
79504,297.5,309.4,1320,56.9,22,1
79545,297.7,308.5,1309,62.6,161,1
79575,297.5,309.3,1374,55.2,22,1
79583,301.8,310.2,2825,51.4,215,1
79774,302.6,310.4,1379,62.5,234,1
79859,297.2,307.9,1989,20.3,186,1
80005,302.3,310.9,1302,56.4,66,1
80084,302.1,310.7,1376,46.3,201,1
80251,297,307.9,1329,62.3,157,1
80310,301.6,310.9,1392,54.5,155,1
80330,300.9,310.7,1369,56.2,199,1
80553,301.8,309.6,1331,49,214,1
80604,297.3,308.6,1365,56.7,203,1
80614,300.8,310.7,1339,59.1,199,1
80616,301.2,310.7,1382,46.3,206,1
80688,302.2,310.8,1294,60.7,188,1
80706,302.1,310.7,1349,51,160,1
80707,302.4,310.3,1374,51.2,163,1
80859,295.6,306.2,1448,53,231,1
80932,300.5,311.8,1368,57.9,206,1
80985,299.3,308.9,1258,69.4,119,1
81100,302.6,310.5,1361,46.3,0,1
81218,302.4,311,1346,53.6,125,1
81278,303.4,312,1521,35.9,200,1
81537,302,310.5,1349,55.2,110,1
81548,300.1,311.5,1660,31.4,38,1
81617,302.1,310.8,1283,65.3,233,1
81626,299.6,309.5,1386,56.9,189,1
81640,300.1,311.6,1372,56.8,197,1
81660,303,311.3,1365,38.2,146,1
81741,298.9,310.3,1587,30.2,162,1
81791,302.4,311.1,1346,59.4,147,1
81798,302.1,310,2874,4.6,6,1
81993,300.8,310.1,1405,61.2,189,1
81995,303,311.4,1335,53.6,161,1
82009,302,309.9,1308,57.6,197,1
82018,301.2,310.1,1314,62.6,106,1
82060,302,309.8,1308,57.6,197,1
82143,301,311.1,1354,49.1,190,1
82185,296.9,308.1,1303,73.6,62,1
82286,295.9,306.6,1312,50.5,124,1
82356,301.9,310.9,1459,46.2,85,1
82514,302.7,310.4,1445,63.6,12,1
82597,299,310.3,1303,68.6,71,1
82607,297.4,308.3,1372,45.5,207,1
82625,300.9,312,1364,53.1,188,1
82681,302.4,310.2,1430,45.5,53,1
82687,303.5,312,1275,42.9,85,1
82703,298,307.3,1412,63.4,24,1
